arquivo,classe,split_origem,largura_px,altura_px,modo_cor,canais,formato,bytes,no_repositorio,origem_hf
_interno/ecg_png_alta_resolucao/treino/infarto/1.png,infarto,treino,1144,583,RGBA,4,PNG,1217493,nao,data/train/myocardial infarctions/1.png
_interno/ecg_png_alta_resolucao/treino/infarto/10.png,infarto,treino,1189,717,RGBA,4,PNG,479103,nao,data/train/myocardial infarctions/10.png
_interno/ecg_png_alta_resolucao/treino/infarto/11.png,infarto,treino,850,403,RGBA,4,PNG,615425,nao,data/train/myocardial infarctions/11.png
_interno/ecg_png_alta_resolucao/treino/infarto/12.png,infarto,treino,1150,322,RGBA,4,PNG,736921,nao,data/train/myocardial infarctions/12.png
_interno/ecg_png_alta_resolucao/treino/infarto/13.png,infarto,treino,1369,754,RGBA,4,PNG,1040930,nao,data/train/myocardial infarctions/13.png
_interno/ecg_png_alta_resolucao/treino/infarto/14.png,infarto,treino,1431,634,RGBA,4,PNG,974847,nao,data/train/myocardial infarctions/14.png
_interno/ecg_png_alta_resolucao/treino/infarto/15.png,infarto,treino,1132,463,RGBA,4,PNG,634109,nao,data/train/myocardial infarctions/15.png
_interno/ecg_png_alta_resolucao/treino/infarto/16.png,infarto,treino,1125,525,RGBA,4,PNG,698821,nao,data/train/myocardial infarctions/16.png
_interno/ecg_png_alta_resolucao/treino/infarto/17.png,infarto,treino,1128,537,RGBA,4,PNG,726376,nao,data/train/myocardial infarctions/17.png
_interno/ecg_png_alta_resolucao/treino/infarto/18.png,infarto,treino,1120,531,RGBA,4,PNG,693694,nao,data/train/myocardial infarctions/18.png
_interno/ecg_png_alta_resolucao/treino/infarto/19.png,infarto,treino,1126,427,RGBA,4,PNG,568558,nao,data/train/myocardial infarctions/19.png
_interno/ecg_png_alta_resolucao/treino/infarto/2.png,infarto,treino,1170,391,RGBA,4,PNG,830807,nao,data/train/myocardial infarctions/2.png
_interno/ecg_png_alta_resolucao/treino/infarto/20.png,infarto,treino,1119,637,RGBA,4,PNG,821245,nao,data/train/myocardial infarctions/20.png
